#=#=#=# Syncrun started  2022-01-25T04:50:18Z 
#=#=#=#=# Propagation starts 2022-01-25T04:50:35Z (last step: 16621 msec , total: 16621 msec) 
2022-01-25T04:50:35Z | DM20VS-MESA.var.bak | SyncInstruction(CSYNC_INSTRUCTION_SYNC) | OCC::SyncFileItem::Up | | 1643086050 | 93f931b37398395db1e47c88cc8fb0f5 | 1673 | 00274797ocestnb39k0x | OCC::SyncFileItem::BlacklistedError | Upload of 2 KB exceeds the quota for the folder | 507 | 1673 | 1640742522 | 48023949-849d-41b3-b07f-a769095dcf6f | 
2022-01-25T04:50:35Z | DM20VS-MESA.var | SyncInstruction(CSYNC_INSTRUCTION_SYNC) | OCC::SyncFileItem::Up | | 1643086216 | 0da66231f5190743f3d799db004f2c24 | 1673 | 00273178ocestnb39k0x | OCC::SyncFileItem::BlacklistedError | Upload of 2 KB exceeds the quota for the folder | 507 | 1673 | 1640743053 | e2130da4-43ed-4f5d-831e-9449e7bcf9c4 | 
#=#=#=# Syncrun finished 2022-01-25T04:50:36Z (last step: 1237 msec , total: 17859 msec) 
#=#=#=# Syncrun started  2022-01-25T04:56:14Z 
#=#=#=#=# Propagation starts 2022-01-25T04:56:15Z (last step: 1059 msec , total: 1059 msec) 
 | backups/24-08-21 18:42/Luxcut_DM20VS-MESA (copy).hal | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629676556 | c6605685e17c0ebe46c7bdd340ae9dc3 | 11282 | 00273185ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/24-08-21 18:42/Luxcut_DM20VS-MESA.hal | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629785157 | 9172a8ea098d5d3e03309ee5275cf5b3 | 11298 | 00273186ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/24-08-21 18:42/Luxcut_DM20VS-MESA.ini | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629787311 | 3a683f777e170ce8af3e63ae51a43289 | 4731 | 00273187ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/24-08-21 18:42/Luxcut_DM20VS-MESA.org | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629676556 | e958711227b43b3a26d78b8bdcca2615 | 4565 | 00273188ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/24-08-21 18:42/custom.hal | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629676556 | 01ce03ad72c9678b0a6cb8acbd84a562 | 103 | 00273189ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/24-08-21 18:42/custom_config.yml | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1590483661 | 3b3fe05c22e71acff35af6052b8fbfbc | 103 | 00273190ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/24-08-21 18:42/custom_gvcp.hal | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629676556 | 5307266c1c4a778c89db010806c6ade4 | 108 | 00273191ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/24-08-21 18:42/custom_postgui.hal | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1585887431 | 176ed4cae7ea0dc842d02b5a1573a002 | 7838 | 00273192ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/24-08-21 18:42/hal-widgets.hal | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1590483661 | 9865d1170ee652783ed52f67f3373896 | 605 | 00273193ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/24-08-21 18:42/hal-widgets.ini | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1590483661 | 3708f7f6d4d42ce7e628e2221391d580 | 4040 | 00273194ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/24-08-21 18:42/hal-widgets.ui | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1590483661 | 3da973e8b5f8ecc1756f26f123c4d8b6 | 12103 | 00273196ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/24-08-21 18:42/linuxcnc.var | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629785196 | bf9a63e05d98a23f170bc01ae675d8e7 | 1666 | 00273195ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
